name,stage,amount,priority,lead source,country
Matracon,9. Lost,"48,000",,Conference,New Zealand
Titan Group,9. Won,"10,000",,,Australia
Unibuild,9. Won,"89,000",,Attended meeting,UK
IndustryOne,9. Won,"25,000",,Website,Ireland
Riveworks,4. Executive decision,"52,000",High,,Ireland
Next Level,5. Order form,"41,000",High,Outsourced lead gen,UK
Hammerhead,3. Propsal,"58,000",Low,Conference,Australia
Urban Build,3. Proposal,"81,000",Low,,New Zealand
Radium Projects,2. Exploring,"37,000",High,,UK
Earthmark,1. Qualifying,"29,000",Medium,Website,UK